nodeID_from,nodeID_to,country_name,country_ISO3
111,111,Portugal,PRT
111,112,Portugal,PRT
111,119,Portugal,PRT
111,11A,Portugal,PRT
111,11B,Portugal,PRT
111,11C,Portugal,PRT
111,11D,Portugal,PRT
111,11E,Portugal,PRT
111,150,Portugal,PRT
111,200,Portugal,PRT
111,300,Portugal,PRT
112,111,Portugal,PRT
112,112,Portugal,PRT
112,119,Portugal,PRT
112,11A,Portugal,PRT
112,11B,Portugal,PRT
112,11C,Portugal,PRT
112,11D,Portugal,PRT
112,11E,Portugal,PRT
112,150,Portugal,PRT
112,200,Portugal,PRT
112,300,Portugal,PRT
119,111,Portugal,PRT
119,112,Portugal,PRT
119,119,Portugal,PRT
119,11A,Portugal,PRT
119,11B,Portugal,PRT
119,11C,Portugal,PRT
119,11D,Portugal,PRT
119,11E,Portugal,PRT
119,150,Portugal,PRT
119,200,Portugal,PRT
119,300,Portugal,PRT
11A,111,Portugal,PRT
11A,112,Portugal,PRT
11A,119,Portugal,PRT
11A,11A,Portugal,PRT
11A,11B,Portugal,PRT
11A,11C,Portugal,PRT
11A,11D,Portugal,PRT
11A,11E,Portugal,PRT
11A,150,Portugal,PRT
11A,200,Portugal,PRT
11A,300,Portugal,PRT
11B,111,Portugal,PRT
11B,112,Portugal,PRT
11B,119,Portugal,PRT
11B,11A,Portugal,PRT
11B,11B,Portugal,PRT
11B,11C,Portugal,PRT
11B,11D,Portugal,PRT
11B,11E,Portugal,PRT
11B,150,Portugal,PRT
11B,200,Portugal,PRT
11B,300,Portugal,PRT
11C,111,Portugal,PRT
11C,112,Portugal,PRT
11C,119,Portugal,PRT
11C,11A,Portugal,PRT
11C,11B,Portugal,PRT
11C,11C,Portugal,PRT
11C,11D,Portugal,PRT
11C,11E,Portugal,PRT
11C,150,Portugal,PRT
11C,200,Portugal,PRT
11C,300,Portugal,PRT
11D,111,Portugal,PRT
11D,112,Portugal,PRT
11D,119,Portugal,PRT
11D,11A,Portugal,PRT
11D,11B,Portugal,PRT
11D,11C,Portugal,PRT
11D,11D,Portugal,PRT
11D,11E,Portugal,PRT
11D,150,Portugal,PRT
11D,200,Portugal,PRT
11D,300,Portugal,PRT
11E,111,Portugal,PRT
11E,112,Portugal,PRT
11E,119,Portugal,PRT
11E,11A,Portugal,PRT
11E,11B,Portugal,PRT
11E,11C,Portugal,PRT
11E,11D,Portugal,PRT
11E,11E,Portugal,PRT
11E,150,Portugal,PRT
11E,200,Portugal,PRT
11E,300,Portugal,PRT
150,111,Portugal,PRT
150,112,Portugal,PRT
150,119,Portugal,PRT
150,11A,Portugal,PRT
150,11B,Portugal,PRT
150,11C,Portugal,PRT
150,11D,Portugal,PRT
150,11E,Portugal,PRT
150,150,Portugal,PRT
150,200,Portugal,PRT
150,300,Portugal,PRT
200,111,Portugal,PRT
200,112,Portugal,PRT
200,119,Portugal,PRT
200,11A,Portugal,PRT
200,11B,Portugal,PRT
200,11C,Portugal,PRT
200,11D,Portugal,PRT
200,11E,Portugal,PRT
200,150,Portugal,PRT
200,200,Portugal,PRT
200,300,Portugal,PRT
300,111,Portugal,PRT
300,112,Portugal,PRT
300,119,Portugal,PRT
300,11A,Portugal,PRT
300,11B,Portugal,PRT
300,11C,Portugal,PRT
300,11D,Portugal,PRT
300,11E,Portugal,PRT
300,150,Portugal,PRT
300,200,Portugal,PRT
300,300,Portugal,PRT
