nodeID,nodeLabel,latitude,longitude
1,AGO1,NA,NA
2,AGO2,NA,NA
3,AGO3,NA,NA
4,AGO4,NA,NA
5,AGO5,NA,NA
6,AGO6,NA,NA
7,AGO7,NA,NA
8,AGO8,NA,NA
9,AGO9,NA,NA
10,AGO10,NA,NA
11,AGO11,NA,NA
12,AGO12,NA,NA
13,AGO13,NA,NA
14,AGO14,NA,NA
15,AGO15,NA,NA
16,AGO16,NA,NA
17,AGO17,NA,NA
18,AGO18,NA,NA
1,ARG1,NA,NA
2,ARG2,NA,NA
3,ARG3,NA,NA
4,ARG4,NA,NA
5,ARG5,NA,NA
6,ARG6,NA,NA
7,ARG7,NA,NA
8,ARG8,NA,NA
9,ARG9,NA,NA
10,ARG10,NA,NA
11,ARG11,NA,NA
12,ARG12,NA,NA
13,ARG13,NA,NA
14,ARG14,NA,NA
15,ARG15,NA,NA
16,ARG16,NA,NA
17,ARG17,NA,NA
18,ARG18,NA,NA
19,ARG19,NA,NA
20,ARG20,NA,NA
21,ARG21,NA,NA
22,ARG22,NA,NA
23,ARG23,NA,NA
24,ARG24,NA,NA
1,ARE1,NA,NA
2,ARE2,NA,NA
3,ARE3,NA,NA
4,ARE4,NA,NA
5,ARE5,NA,NA
6,ARE6,NA,NA
7,ARE7,NA,NA
8,ARE8,NA,NA
022,AL022,41.16176625,19.684307557402434
031,AL031,40.789007,20.024574344845515
032,AL032,40.748075,19.615630269620794
033,AL033,40.12717915,20.25238600702982
034,AL034,40.526760749999994,20.67881971201253
035,AL035,40.08932125,19.857954831032195
011,AL011,41.6575007,20.253304852009016
012,AL012,41.390292,19.623216269121865
013,AL013,42.16076765,20.29450865166528
014,AL014,41.7867212,19.820902874294177
015,AL015,42.20077875,19.72430948493548
021,AL021,40.890860749999995,20.209401088240554
